id;mark;
A08141;TATTOO, ARM, LEFT UPPER - HEART/\"EA\";
A08141;TATTOO, FOREARM, LEFT - \"TC N AG\";
A08225;SCAR, HAND, LEFT - SCAR HAND, LEFT;
A08230;SCAR, ABDOMEN - NUMEROUS,LG THRU ABDOM,SIDE,CHES;
A08230;TATTOO, FOREARM, LEFT - F.C.,R.C.,BLOCK,CROSS;
A08230;TATTOO, ARM, LEFT UPPER - BANNERS,STAR(BACK-FLAMING SKULL);
A08230;TATTOO, FOREARM, RIGHT - POT LEAF,T.TW.;
A08230;TATTOO, ARM, RIGHT UPPER - EAGLE,BANNER,BRITTANY;
A08240;TATTOO, ARM, RIGHT - MOON,STARS,WORLDS,BANNER;
A08240;TATTOO, CHEST - DRAGON,FLAMES;
A08240;TATTOO, BACK - LION;
A08240;SCAR, SIDE, RIGHT - LIN SCAR ON RIGHT SIDE OF FACE;
A08240;TATTOO, CHEEK (FACE), LEFT - 2 HEARTS & LIGHTNING BOLT;
A08307;NONE RECORDED;
A10002;TATTOO, ARM, LEFT UPPER - NAKED LADY;
A10002;TATTOO, ARM, LEFT - NYOKA & JP;
A10002;TATTOO, HAND, LEFT - CANCER 69;
A10002;SCAR, NOSE - SM LIN ON BRIDGE OF NOSE;
A10002;PIERCED EARS - LX1;
A10008;SCAR, ABDOMEN - SCAR STOMACH SCAR ON STOMACH;
A10008;TATTOO, ARM, RIGHT UPPER - \"JIM DANDY\",CARD SUITS;
A10008;TATTOO, CHEST - \"CANDIA FOREVER YOURS;
A10008;TATTOO, ARM, LEFT - SNAKE,DAGGER,HOURGLASS,BALL/CHAI;
A10008;TATTOO, FOREARM, RIGHT - REAPER;
A10037;SCAR, ARM, RIGHT - SCAR ARM, RIGHT;
A10037;SCAR, WRIST, LEFT - SCAR WRIST, LEFT;
A10133;TATTOO, SHOULDER, RIGHT - WAIST DWON HALF OF A GIRL'S BODY;
A10133;TATTOO, ARM, LEFT - SCROLL  NAKED LADY BACK-WIZARD;
A10133;TATTOO, ARM, RIGHT - LADY WITH LOVING SCROLL W ROSE;
A10133;TATTOO, CHEST - WINGS   GLASSES VIKINGS;
A10133;TATTOO, SHOULDER, LEFT - NUDE BODY OF A GIRL GUN;
A10157;TATTOO, ARM, LEFT UPPER - \"CLINT\";
A10157;SCAR, FOOT, LEFT - SCAR FOOT, LEFT;
